HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
85109055,851090,22,Intermediate,956927,417644,402182,3546335,873090,592251.0,True
85111000,851110,53,Intermediate,13198625,13208141,23318222,37294104,7095780,16574996.0,True
85112000,851120,53,Intermediate,15878850,17034624,12791385,15930695,5363149,15234953.0,True
85113000,851130,53,Intermediate,101133344,134281264,116620176,137795424,49130432,117344928.0,True
85114000,851140,53,Intermediate,151082352,137426704,169517904,175837232,58933340,152675648.0,True
85115000,851150,53,Intermediate,96811424,95009616,113537392,115801392,35552896,101786144.0,True
85118060,851180,53,Intermediate,15564506,15638747,14326946,16177669,3776749,15176733.0,True
85119060,851190,53,Intermediate,62725520,63946008,64655280,64441992,17067678,63775604.0,True
85122020,851220,53,Intermediate,435985632,485988000,496143168,547580928,146673120,472705600.0,True
85122040,851220,53,Intermediate,104702808,108876552,127113088,148452448,47988864,113564152.0,True
85123000,851230,53,Intermediate,47275720,40669328,40805612,43852956,9139159,42916888.0,True
85124020,851240,53,Intermediate,1340262,910374,515410,803195,68785,922015.3125,True
85124040,851240,53,Intermediate,37098748,34072744,33950732,36265896,11044513,35040740.0,True
85129020,851290,22,Intermediate,50965324,47944700,50322200,48569388,15365699,49744076.0,True
85129040,851290,22,Intermediate,1244840,1031883,1107496,2160487,151354,1128073.0,True
85129060,851290,22,Intermediate,209436272,187572288,217406656,225381840,79601536,204805072.0,True
85129070,851290,22,Intermediate,7699,170597,92299,282236,0,90198.33594,True
85129090,851290,22,Intermediate,141647312,167622064,165777744,175988688,46596496,158349040.0,True
85139020,851390,22,Intermediate,8758547,8095577,5641917,4665154,890027,7498680.5,True
85139040,851390,22,Intermediate,6044805,6639521,5434684,7877053,1414568,6039670.0,True
85142040,851420,41,Capital,12299106,10298128,10005628,10999462,1432261,10867621.0,True
85149040,851490,42,Intermediate,1019316,7736146,4057172,4479099,1113881,4270878.0,True
85162100,851621,61,Consumption,41371112,29176472,30766416,38854784,791947,33771332.0,True
85162900,851629,61,Consumption,625008128,441271296,406127744,525288160,41161792,490802400.0,True
85166040,851660,61,Consumption,388632320,389304576,484344128,689024192,140182864,420760352.0,True
85168040,851680,22,Intermediate,16929788,17550624,13850625,17716048,3596922,16110346.0,True
85168080,851680,22,Intermediate,76131264,51213600,57414768,59424240,13976077,61586544.0,True
85169005,851690,22,Intermediate,16465710,14640779,11487281,11589263,2795015,14197923.0,True
85169015,851690,22,Intermediate,553285,376935,318854,286207,87158,416358.0,True
85169025,851690,22,Intermediate,76416,34639,39533,123446,22003,50196.0,True
85169035,851690,22,Intermediate,171414,351582,72794,180275,235670,198596.6719,True
85169045,851690,22,Intermediate,1940064,246835,211456,177762,43281,799451.6875,True
85169050,851690,22,Intermediate,22330414,20471880,20848694,20059268,5707612,21216996.0,True
85169055,851690,22,Intermediate,148774,430074,875319,2302651,773046,484722.3438,True
85169065,851690,22,Intermediate,1150295,1345322,850545,1961226,521342,1115387.375,True
85169075,851690,22,Intermediate,177180,78011,72476,137118,26123,109222.3359,True
85169080,851690,22,Intermediate,104045296,84228608,95061584,94978496,27929064,94445160.0,True
85169085,851690,22,Intermediate,0,16000,22289,4341,0,12763.0,True
85169090,851690,22,Intermediate,49503476,37425780,50463928,40541356,10809163,45797728.0,True
85176900,851769,41,Capital,833546752,691433280,947691776,623116224,52117896,824223936.0,True
85181040,851810,41,Capital,8433291,8415390,9985540,9587126,2322967,8944740.0,True
85184010,851840,41,Capital,794081,5062571,7149308,1677971,218931,4335320.0,True
85184020,851840,41,Capital,318027520,283100096,276050240,285564000,73552000,292392608.0,True
85185000,851850,41,Capital,66033024,66260316,65036120,62936440,13887762,65776488.0,True
85189020,851890,42,Intermediate,1772395,1778703,1780018,1891436,198592,1777038.625,True
85189041,851890,42,Intermediate,0,613773,1479994,1407758,460111,697922.3125,True
85189060,851890,42,Intermediate,2856025,1999267,1659571,2055341,490427,2171621.0,True
85189081,851890,42,Intermediate,0,41977664,93596976,99444248,29692484,45191548.0,True
85198130,851981,0,Multiple,89006592,65952260,63276600,52562304,6552483,72745152.0,True
85221000,852210,42,Intermediate,80454,89435,261212,659625,137756,143700.3281,True
85229025,852290,42,Intermediate,181456,208715,733205,500687,61511,374458.6563,True
85229036,852290,42,Intermediate,0,965402,2719995,997717,478859,1228465.625,True
85229045,852290,42,Intermediate,103757,21235,104358,171294,16653,76450.0,True
85229058,852290,42,Intermediate,0,111524,246200,8350,2806,119241.3359,True
85229065,852290,42,Intermediate,1418248,1137740,1905584,2179732,391693,1487190.625,True
85229080,852290,42,Intermediate,0,11073249,19522342,13511775,5450043,10198530.0,True
85232100,852321,0,Multiple,39206992,5566549,7647044,8012523,2618826,17473528.0,True
85234940,852349,0,Multiple,16369320,11157913,9496961,4927230,1793454,12341398.0,True
85235200,852352,0,Multiple,208825744,174930592,281474048,186433936,39763208,221743456.0,True
85235900,852359,0,Multiple,27997608,21824992,25083712,45362104,14345758,24968770.0,True
85255030,852550,41,Capital,648194688,631290880,521832480,432989088,110820352,600439360.0,True
85258030,852580,41,Capital,758082944,873953280,950152064,1323577856,377075648,860729408.0,True
85258050,852580,61,Consumption,250867984,280879808,392833376,368487872,59392444,308193728.0,True
85272115,852721,53,Intermediate,0,24525,3000,287184,0,9175.0,True
85272125,852721,53,Intermediate,0,979331,1497579,1882152,471377,825636.6875,True
85272140,852721,53,Intermediate,761434624,539504384,452797920,446420832,36462520,584578944.0,True
85272940,852729,53,Intermediate,16377698,14825704,12556041,26346866,8965396,14586481.0,True
85272980,852729,53,Intermediate,5690172,6039723,5715109,8516659,1771107,5815001.5,True
85284200,852842,41,Capital,0,0,5831447,1090659,308609,1943815.625,True
85284915,852849,41,Capital,12859,226452,106742,133831,64694,115351.0,True
85284920,852849,41,Capital,19912,25900,7155,0,0,17655.66602,True
85284935,852849,41,Capital,65000,146104,8390,0,0,73164.66406,True
85284945,852849,41,Capital,5944,14820,0,0,0,6921.333496,True
85284960,852849,41,Capital,0,40000,0,18078,0,13333.33301,True
85284980,852849,41,Capital,60036,20421,5135,24917,12793,28530.66602,True
85285905,852859,41,Capital,6417364,4847661,2719431,1848289,539745,4661485.5,True
85285910,852859,41,Capital,44610180,43419096,72240304,129640336,27176068,53423192.0,True
85286905,852869,61,Consumption,182813,374890,92288,132828,10000,216663.6719,True
85286910,852869,61,Consumption,6298373,10252815,9145888,11421864,696413,8565692.0,True
85286920,852869,61,Consumption,1297032,27203,22551,59101,0,448928.6563,True
85286930,852869,61,Consumption,30356,8848,21658,0,0,20287.33398,True
85287204,852872,61,Consumption,59437,58169,42397,45371,0,53334.33203,True
85287212,852872,61,Consumption,6674,0,0,19328,0,2224.666748,True
85287220,852872,61,Consumption,115153,54720,131876,45850,0,100583.0,True
