HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
85059075,850590,41,Capital,0,49969140,103793656,100834696,33900396,51254264
85064010,850640,63,Consumption,2378442,378546,874786,170668,20758,1210591.375
85064050,850640,63,Consumption,342594,313776,255018,62764,3860,303796
85065000,850650,63,Consumption,60693860,74132440,90016168,62276608,10722990,74947488
85066000,850660,63,Consumption,2667452,1728679,2100920,1921025,442617,2165683.75
85069000,850690,22,Intermediate,3829556,4015956,3246765,2041883,358490,3697425.75
85079080,850790,22,Intermediate,23499346,30787722,39859272,54413408,19770974,31382114
85141000,851410,41,Capital,17183244,16770149,16271138,14267345,1737068,16741510
85142060,851420,41,Capital,145930,63790,7129,530231,0,72283
85142080,851420,41,Capital,2356887,1340004,475045,1780053,389269,1390645.375
85143010,851430,41,Capital,0,1671581,3905291,5378348,2109979,1858957.375
85143090,851430,41,Capital,0,5047150,7882792,6713625,1191395,4309980.5
85144000,851440,41,Capital,1345927,2192937,1117674,2144049,622033,1552179.375
85149080,851490,42,Intermediate,13985551,15661474,16235356,18543944,4998959,15294127
85151100,851511,41,Capital,7256382,6905823,7977588,8123841,2374040,7379931
85151900,851519,41,Capital,4686966,6341766,4793139,6907810,1187245,5273957
85152100,851521,41,Capital,880996,1394661,17078644,3079058,716028,6451433.5
85152900,851529,41,Capital,7678556,6581218,10592848,8379896,1884167,8284207.5
85153100,851531,41,Capital,6342438,4458552,3735860,3269628,769287,4845616.5
85153900,851539,41,Capital,33933560,40727172,61257668,64921788,15241996,45306132
85158000,851580,41,Capital,10442749,13482312,18689220,15179847,3164572,14204760
85159020,851590,42,Intermediate,38356080,31366096,34865420,39671676,12196456,34862532
85159040,851590,42,Intermediate,13176432,14033011,14741953,11177571,2356883,13983799
85255070,852550,41,Capital,13653355,18695674,16417587,18294864,4055563,16255539
85256010,852560,41,Capital,184557104,178552768,178769104,119165296,19128124,180626320
85256020,852560,41,Capital,120874608,353907648,619183680,153134368,1811330,364655296
